Wall time,Step,Value
1715687862.856154,200,-13.302422523498535
1715687869.038927,400,-12.95278549194336
1715687874.9901686,600,-12.656373023986816
1715687878.3510797,706,-11.036797523498535
1715687884.6387095,906,-10.495742797851562
1715687890.9744112,1106,-10.837830543518066
1715687896.8242064,1290,-10.155258178710938
1715687901.9532578,1443,-9.619826316833496
1715687909.5455172,1643,-9.410935401916504
1715687916.5710037,1795,-9.030802726745605
1715687922.5955212,1901,-8.655882835388184
1715687929.6209936,2056,-8.539605140686035
1715687936.6459074,2207,-8.465680122375488
1715687942.6709201,2350,-8.277092933654785
1715687948.6940951,2462,-7.976657867431641
1715687953.7142448,2530,-7.601805210113525
1715687958.7362607,2615,-7.329549312591553
1715687964.763418,2731,-7.179950714111328
1715687968.7827368,2788,-6.870514869689941
1715687973.8061864,2879,-6.6379218101501465
1715687978.8295004,2981,-6.451284885406494
1715687983.85105,3074,-6.272709369659424
1715687988.871388,3151,-6.078114986419678
1715687994.8953178,3266,-5.926762104034424
1715687999.916161,3336,-5.754236698150635
1715688003.9379003,3373,-5.249959468841553
1715688007.958522,3412,-4.775722026824951
1715688011.9810336,3431,-4.307036876678467
1715688017.0015798,3513,-4.137997627258301
1715688024.0271292,3669,-4.000833511352539
1715688028.0465536,3718,-3.5411789417266846
1715688034.0705397,3825,-3.4190468788146973
1715688038.0915115,3871,-3.223320245742798
1715688042.1114004,3886,-2.9254186153411865
1715688046.1320949,3912,-2.719287872314453
1715688050.1529253,3932,-2.536341667175293
1715688055.1750672,3990,-2.299086093902588
1715688060.1987813,4066,-2.073594808578491
1715688064.2193246,4098,-1.8676142692565918
1715688068.240432,4154,-1.7688019275665283
1715688072.260647,4176,-1.707809567451477
1715688076.2807205,4222,-1.629001498222351
1715688080.3007607,4246,-1.4606893062591553
1715688085.3258991,4335,-1.4934579133987427
1715688089.3463197,4380,-1.4455047845840454
1715688094.3691163,4441,-1.3941633701324463
1715688098.3899293,4499,-1.3431577682495117
1715688102.4097774,4522,-1.2905216217041016
1715688106.4291427,4546,-1.2099891901016235
1715688110.4488354,4608,-1.199310302734375
1715688114.470184,4644,-1.1974023580551147
1715688119.4938617,4717,-1.2541632652282715
1715688123.5157466,4736,-1.2570072412490845
1715688127.5359051,4750,-1.1903637647628784
1715688131.5566595,4775,-1.0139657258987427
1715688135.5791337,4795,-0.9872119426727295
1715688139.6006856,4826,-0.8921586871147156
1715688143.620426,4843,-0.8673721551895142
1715688147.6405861,4864,-0.8729123473167419
1715688151.6607537,4885,-0.8738359212875366
1715688155.681496,4904,-0.8751494884490967
1715688159.7032108,4930,-0.8440791964530945
1715688163.722725,4945,-0.7778409719467163
1715688167.743083,4974,-0.7816522717475891
1715688171.763842,4990,-0.7397720813751221
1715688175.7850688,5008,-0.7361354827880859
1715688179.8071706,5030,-0.7108955383300781
1715688183.8283598,5080,-0.7298911213874817
1715688187.8483238,5100,-0.6591410636901855
1715688191.8700082,5126,-0.6429554224014282
1715688196.893036,5183,-0.6448243260383606
1715688200.9137082,5212,-0.6253516674041748
1715688204.9347534,5242,-0.6316628456115723
1715688208.955594,5279,-0.6435884237289429
1715688212.976989,5301,-0.6076047420501709
1715688216.997995,5321,-0.5978875160217285
1715688221.0174887,5343,-0.528117299079895
1715688225.0383146,5376,-0.539496123790741
1715688229.060312,5405,-0.552415668964386
1715688233.0816355,5423,-0.5484848022460938
1715688237.1026285,5432,-0.5372684597969055
1715688241.123308,5459,-0.533141553401947
1715688245.1438894,5496,-0.5510458946228027
1715688249.164835,5519,-0.5540266036987305
1715688253.1847038,5544,-0.5559468865394592
1715688257.2086864,5567,-0.5612841248512268
1715688261.2297,5585,-0.5532077550888062
1715688265.2506664,5599,-0.5523251295089722
1715688269.2710547,5626,-0.5452521443367004
1715688273.2931154,5645,-0.549043595790863
1715688277.3136356,5664,-0.5481444597244263
1715688281.33699,5701,-0.5694087743759155
1715688285.3586257,5727,-0.5581960678100586
1715688289.3807669,5750,-0.5647292137145996
