Wall time,Step,Value
1715690416.667407,200,-8.512004852294922
1715690424.2366326,400,-13.748337745666504
1715690432.3197763,600,-14.587645530700684
1715690440.8323321,800,-13.265292167663574
1715690448.855953,1000,-13.001086235046387
1715690456.8842013,1200,-12.23710823059082
1715690464.9156866,1400,-12.065983772277832
1715690472.9489326,1600,-11.34123420715332
1715690479.9757862,1756,-10.82625961303711
1715690487.0063422,1909,-10.9309663772583
1715690493.1905148,2064,-11.93486213684082
1715690498.3263927,2215,-12.028876304626465
1715690505.5600893,2415,-11.948914527893066
1715690510.9745693,2567,-11.567361831665039
1715690518.3891728,2767,-11.426329612731934
1715690525.5847685,2920,-11.136126518249512
1715690532.61042,3073,-11.019086837768555
1715690540.640634,3273,-10.854893684387207
1715690548.6660862,3473,-10.84619140625
1715690554.4564867,3632,-10.601091384887695
1715690560.221259,3785,-10.51186752319336
1715690565.8404498,3937,-10.294232368469238
1715690573.5688033,4089,-10.069025039672852
1715690580.5937524,4242,-9.922311782836914
1715690588.6244628,4442,-9.775656700134277
1715690595.2201996,4599,-9.752839088439941
1715690599.2392807,4711,-9.164241790771484
1715690604.5990484,4817,-8.675272941589355
1715690612.6276894,5017,-8.518056869506836
1715690618.6561606,5123,-8.152701377868652
1715690624.679754,5249,-8.077066421508789
1715690630.7896218,5358,-7.757781028747559
1715690637.8162374,5513,-7.693691253662109
1715690643.842771,5628,-7.6253533363342285
1715690648.864479,5723,-7.2681050300598145
1715690653.889202,5816,-6.482797145843506
1715690661.9282682,6016,-6.560989856719971
1715690667.9579978,6129,-6.405141353607178
1715690674.4454744,6287,-6.419531345367432
1715690679.5043356,6438,-6.612493515014648
1715690685.2027717,6591,-6.901483535766602
1715690688.2054029,6667,-6.639388561248779
1715690692.2395127,6773,-6.459615707397461
1715690699.5159435,6970,-6.294658660888672
1715690707.1124017,7131,-6.337203025817871
1715690714.1433773,7286,-6.26373815536499
1715690721.1762455,7446,-6.316220283508301
1715690727.2026792,7566,-6.33617639541626
1715690732.2261343,7627,-6.173371315002441
1715690736.2509692,7653,-5.942722320556641
1715690743.2804189,7808,-5.7857465744018555
1715690751.314188,8008,-5.8909430503845215
1715690758.347752,8170,-5.995391368865967
1715690765.3779993,8327,-5.936720848083496
1715690772.4085908,8488,-6.013370037078857
1715690778.4363987,8599,-5.881133079528809
1715690784.4660664,8704,-6.008835315704346
1715690791.4961953,8863,-6.000452041625977
1715690798.5254638,9031,-6.0770111083984375
1715690802.5526361,9063,-5.986263275146484
1715690808.5802753,9189,-6.0395684242248535
1715690815.609808,9344,-5.590551853179932
1715690820.639411,9429,-5.391101360321045
1715690826.6689816,9538,-5.214366436004639
1715690830.6922657,9589,-4.691952705383301
1715690838.7247272,9789,-4.4051666259765625
1715690844.7525914,9919,-4.501955032348633
