Wall time,Step,Value
1715689579.5782132,200,-50.0
1715689587.3436031,400,-50.0
1715689594.0280294,600,-50.0
1715689600.2107213,800,-50.0
1715689606.6656225,1000,-50.0
1715689611.7948785,1160,-48.29166793823242
1715689615.1948917,1266,-45.10714340209961
1715689618.8445506,1382,-43.03125
1715689622.1961186,1485,-41.05555725097656
1715689627.0282998,1637,-40.724998474121094
1715689633.4063716,1837,-41.568180084228516
1715689638.844131,1991,-41.29166793823242
1715689647.483432,2191,-41.96154022216797
1715689653.5106168,2296,-40.80356979370117
1715689661.5396507,2496,-41.41666793823242
1715689668.5696561,2648,-41.1875
1715689676.5970569,2848,-41.70588302612305
1715689684.6242256,3048,-42.16666793823242
1715689692.6533747,3248,-42.578948974609375
1715689700.68424,3448,-42.95000076293945
1715689708.7130384,3648,-43.28571319580078
1715689716.7430902,3848,-43.59090805053711
1715689723.7692902,4000,-43.33695602416992
1715689730.7947955,4156,-43.14583206176758
1715689737.8207247,4310,-42.95000076293945
1715689744.827877,4510,-42.95000076293945
1715689751.9595914,4710,-42.95000076293945
1715689757.1776311,4862,-42.459999084472656
1715689764.424741,5062,-42.459999084472656
1715689770.0592327,5215,-41.97999954223633
1715689777.2741365,5415,-42.38999938964844
1715689784.6584973,5615,-43.349998474121094
1715689791.6005862,5815,-44.209999084472656
1715689796.9046934,5966,-44.70000076293945
1715689801.8380282,6108,-44.59000015258789
1715689807.6002622,6260,-44.099998474121094
1715689811.6011884,6365,-43.599998474121094
1715689817.370994,6517,-43.11000061035156
1715689824.931008,6717,-44.08000183105469
1715689830.9552617,6831,-43.20000076293945
1715689836.9781508,6944,-42.79999923706055
1715689845.0082529,7144,-42.79999923706055
1715689853.0386875,7344,-42.79999923706055
1715689860.0620432,7512,-42.470001220703125
1715689868.088103,7712,-42.470001220703125
1715689875.1126237,7863,-41.970001220703125
1715689882.1393347,8016,-41.4900016784668
1715689888.7339263,8181,-41.619998931884766
1715689894.695265,8349,-41.7400016784668
1715689900.7441137,8510,-41.810001373291016
1715689907.8094912,8710,-41.810001373291016
1715689914.9246209,8910,-41.810001373291016
1715689918.585206,9012,-41.29999923706055
1715689926.6324418,9212,-41.29999923706055
1715689934.659156,9412,-41.779998779296875
1715689942.6854596,9612,-41.779998779296875
1715689950.7156217,9812,-41.779998779296875
