Wall time,Step,Value
1715691425.2842627,200,-50.0
1715691431.5479834,400,-50.0
1715691438.3306317,551,-45.83333206176758
1715691445.972637,751,-46.875
1715691452.6344206,951,-47.5
1715691458.9991958,1151,-47.91666793823242
1715691466.7803028,1351,-48.21428680419922
1715691474.8109848,1551,-48.4375
1715691482.837523,1751,-48.61111068725586
1715691491.867416,1911,-47.724998474121094
1715691499.8932526,2111,-47.931819915771484
1715691507.9190893,2311,-48.10416793823242
1715691515.9464014,2511,-48.25
1715691522.9722517,2662,-47.48214340209961
1715691529.999613,2813,-46.81666564941406
1715691538.0270905,3013,-47.015625
1715691545.0555491,3177,-46.64706039428711
1715691553.0863383,3334,-46.22222137451172
1715691561.112987,3534,-46.421051025390625
1715691569.1385427,3734,-46.599998474121094
1715691576.1653895,3894,-46.27381134033203
1715691585.1938443,4094,-46.443180084228516
1715691593.2220838,4294,-46.59782791137695
1715691601.2504222,4494,-46.73958206176758
1715691608.2798471,4646,-46.380001068115234
1715691615.3034873,4803,-45.939998626708984
1715691623.3297026,5003,-45.939998626708984
1715691630.3552172,5155,-45.95000076293945
1715691636.3804612,5262,-45.0
1715691643.4056032,5413,-44.5
1715691651.4329734,5613,-44.5
1715691660.4624045,5813,-44.5
1715691668.4897215,6013,-44.5
1715691676.5151722,6213,-44.5
1715691685.5450025,6413,-44.90999984741211
1715691693.5734973,6613,-44.90999984741211
1715691701.6015477,6813,-44.90999984741211
1715691710.6345441,7013,-44.90999984741211
1715691717.6594489,7190,-45.16999816894531
1715691725.6862047,7390,-45.66999816894531
1715691731.7164726,7514,-44.88999938964844
1715691739.7405474,7665,-44.7599983215332
1715691747.7683177,7865,-45.20000076293945
1715691754.7960343,8016,-44.70000076293945
1715691762.8260806,8173,-44.2599983215332
1715691770.856924,8373,-44.66999816894531
1715691777.8830433,8526,-44.189998626708984
1715691786.9119487,8726,-44.189998626708984
1715691794.9343967,8926,-44.189998626708984
1715691802.963234,9114,-44.54999923706055
1715691811.99619,9314,-44.9900016784668
1715691820.0232344,9514,-44.9900016784668
1715691828.0484495,9714,-45.47999954223633
1715691835.0834312,9876,-46.040000915527344
